BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11211,6019155,11211,"Brick, Modified 1 x 2 with Studs on 1 Side",5,4,Red,Solid Colors,2,0.86
11476,6313116,11476,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip)",11,0,Black,Solid Colors,2,0.46
11477,6047276,11477,"Slope, Curved 2 x 1",11,0,Black,Solid Colors,2,0.31
15068,6053077,15068,"Slope, Curved 2 x 2",11,0,Black,Solid Colors,6,0.57
15573,6092585,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",11,0,Black,Solid Colors,6,0.3
22885,6123809,22885,"Brick, Modified 1 x 2 x 1 2/3 with Studs on 1 Side",86,71,Light Bluish Gray,Solid Colors,4,1.25
24201,6251252,24201,"Slope, Curved 2 x 1 Inverted",2,19,Tan,Solid Colors,2,0.36
24246,6258973,24246,"Tile, Round 1 x 1 Half Circle Extended (Stadium)",5,4,Red,Solid Colors,1,0
2431,4211194,2431,Tile 1 x 4,88,70,Reddish Brown,Solid Colors,2,0.54
2431,243126,2431,Tile 1 x 4,11,0,Black,Solid Colors,2,0.54
25269,6172366,25269,"Tile, Round 1 x 1 Quarter",1,15,White,Solid Colors,4,0.1
29119,6181713,29119,Wedge 2 x 1 with Stud Notch Right,11,0,Black,Solid Colors,1,0.23
29120,6181720,29120,Wedge 2 x 1 with Stud Notch Left,11,0,Black,Solid Colors,1,0.23
3003,4653960,3003,Brick 2 x 2,89,85,Dark Purple,Solid Colors,2,1.35
3005,4211242,3005,Brick 1 x 1,88,70,Reddish Brown,Solid Colors,2,0.44
3010,301026,3010,Brick 1 x 4,11,0,Black,Solid Colors,1,1.64
3020,302026,3020,Plate 2 x 4,11,0,Black,Solid Colors,2,1.2
3021,302101,3021,Plate 2 x 3,1,15,White,Solid Colors,2,0.93
3021,302123,3021,Plate 2 x 3,7,1,Blue,Solid Colors,1,0.93
3022,4216695,3022,Plate 2 x 2,88,70,Reddish Brown,Solid Colors,6,0.64
3023,302323,3023,Plate 1 x 2,7,1,Blue,Solid Colors,2,0.36
3023,4211150,3023,Plate 1 x 2,88,70,Reddish Brown,Solid Colors,2,0.36
3023,4113917,3023,Plate 1 x 2,2,19,Tan,Solid Colors,1,0.36
3023,302326,3023,Plate 1 x 2,11,0,Black,Solid Colors,10,0.36
