Rudy Flyer,TRUE,SKU: MAS003
3958,1,0x000000
11476,2,0x000000
4150,2,0x000000
15068,6,0x000000
87580,2,0x000000
3176,3,0x000000
3070,2,0x000000
29120,1,0x000000
29119,1,0x000000
3023,10,0x000000
15573,6,0x000000
11477,2,0x000000
85984,8,0x000000
93273,3,0x000000
3710,3,0x000000
2431,2,0x000000
3010,1,0x000000
26603,1,0x000000
3020,2,0x000000
22885,4,0x808080
25269,4,0xFFFFFF
3069,1,0xFFFFFF
3021,2,0xFFFFFF
3070,1,0xFF0000
24246,1,0xFF0000
11211,2,0xFF0000
2431,2,0x964B00
3070,2,0x964B00
3024,4,0x964B00
3005,2,0x964B00
3022,6,0x964B00
3710,4,0x964B00
3070,2,0xFFFFBF
98138,1,0xFFFFBF
4073,2,0xFFFFBF
3024,2,0xFFFFBF
87087,4,0xFFFFBF
3023,1,0xFFFFBF
35480,1,0xFFFFBF
24201,2,0xFFFFBF
3700,1,0xFFFFBF
99206,2,0xFFFFBF
3710,1,0xFFFFBF
3710,4,0x5A93DB
4274,1,0x0A3463
3023,2,0x0A3463
3021,1,0x0A3463
3003,2,0x0A3463
3024,4,0xFFE371
